,artist_id,artist,image,genres,popularity,link,followers
0,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,https://i.scdn.co/image/ab6761610000e5eb7b05445e212ac49d9ed4c310,"['alternative r&b', 'dance pop', 'pop', 'r&b']",81,https://api.spotify.com/v1/artists/3Y7RZ31TRPVadSFVy1o8os,4842462
1,2BGRfQgtzikz1pzAD0kaEn,Elvis Costello,https://i.scdn.co/image/ab6761610000e5ebbd95594d3201ab9c7b0349e6,"['art rock', 'folk', 'folk rock', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']",62,https://api.spotify.com/v1/artists/2BGRfQgtzikz1pzAD0kaEn,452217
2,5KDIH2gF0VpelTqyQS7udb,Staind,https://i.scdn.co/image/ab6761610000e5eba43eff361de1d811e2d17adb,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock', 'rock']",68,https://api.spotify.com/v1/artists/5KDIH2gF0VpelTqyQS7udb,2007069
3,10rzK0sLCXsUlDhl8ed0MV,Blackfoot,https://i.scdn.co/image/ab67616d0000b273b0cb99579af59e4a51f7887d,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'native american', 'rock', 'southern rock']",48,https://api.spotify.com/v1/artists/10rzK0sLCXsUlDhl8ed0MV,271263
4,17Zu03OgBVxgLxWmRUyNOJ,Knxwledge,https://i.scdn.co/image/ab6761610000e5eb8e0147d29ac3c4f161924696,"['abstract beats', 'alternative hip hop', 'alternative r&b', 'hip hop', 'indie soul', 'wonky']",62,https://api.spotify.com/v1/artists/17Zu03OgBVxgLxWmRUyNOJ,172821
5,63XBtGSEZINSyXylZxEUbv,Victoria Monét,https://i.scdn.co/image/ab6761610000e5eb971c717691df845ab7365740,"['alternative r&b', 'chill r&b', 'dance pop', 'high vibe', 'indie r&b', 'pop', 'pop r&b', 'post-teen pop', 'r&b', 'urban contemporary']",67,https://api.spotify.com/v1/artists/63XBtGSEZINSyXylZxEUbv,496524
6,3RNrq3jvMZxD9ZyoOZbQOD,Korn,https://i.scdn.co/image/ab6761610000e5eb29af2ffb6f4ddd6324f878bc,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",78,https://api.spotify.com/v1/artists/3RNrq3jvMZxD9ZyoOZbQOD,5281015
7,7JjJcNso0ZqXL0zC6DOWKh,Da Lench Mob,https://i.scdn.co/image/2a3569a229c88d518cbb2589de341c61610f9599,"['conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",32,https://api.spotify.com/v1/artists/7JjJcNso0ZqXL0zC6DOWKh,88406
8,4Wfq6fHhifS8MmQOcJ18TP,John Conlee,https://i.scdn.co/image/b7dd179a32fe4a11623b44b356462f1315b1b8c2,"['classic country pop', 'country', 'country rock']",49,https://api.spotify.com/v1/artists/4Wfq6fHhifS8MmQOcJ18TP,140015
9,3NPpFNZtSTHheNBaWC82rB,X Ambassadors,https://i.scdn.co/image/ab6761610000e5eb8f08efd0e601988cd94a3d9c,"['modern alternative rock', 'modern rock', 'pop', 'pop rap', 'pop rock', 'rock', 'stomp pop']",76,https://api.spotify.com/v1/artists/3NPpFNZtSTHheNBaWC82rB,2625066
